supporter_id,first_name,last_name,date_of_birth,email,postcode,region,sign_up_date,source_channel,marketing_consent,status,last_activity_date
1,Rhys,Thornbury,1963-12-22,rhys.thornbury1@example.com,SW22 4PW,Wales,2019-11-03,Telephone,0,Activ,2020-01-31
2,Samuel,Iqbal,1998-06-01,samuel.iqbal2@example.com,N32 7PU,Northern Ireland,2024-09-03,Telephone,1,Active,2025-09-17
3,Mahmoud,Chen,1988-01-18,mahmoud.chen3@example.com,ls333zn,South East,2018-01-05,Partner,0,Lapsed,2024-01-17
4,Emeka,Chen,1997-08-13,emeka.chen4@example.com,EH6 6WG,South West,2024-07-02,Web,1,Lapsed,2025-09-22
5,Eleanor,Lindqvist,1973-09-20,eleanor.lindqvist5@example.com,EH15 4FF,North East,2022-11-25,Telephone,1,Deceased,2025-05-08
6,Rosa,Uddin,1992-10-24,rosa.uddin6@example.com,BS3 6WB,London,2023-07-12,Direct Mail,1,Lapsed,2024-05-01
7,Kai,Wainwright,1975-09-03,kai.wainwright7@example.com,CF30 5GQ,North West,2022-07-03,Partner,0,Inactive,2024-01-08
8,Sian,Jarvis,1971-03-27,,B37 7GG,West Midlands,2024-06-21,Direct Mail,1,Lapsed,2024-12-01
9,Joseph,Iqbal,2002-11-21,joseph.iqbal9@example.com,SE27 5SE,North West,2023-02-16,Partner,1,Active,2024-02-26
10,Verity,Lindqvist,1957-11-02,verity.lindqvist10@example.com,BS29 7YH,Northern Ireland,2026-06-12,Direct Mail,1,Active,2026-06-15
11,Isaac,Iqbal,1959-02-24,isaac.iqbal11@example.com,sw149bb,East of England,2023-12-22,Direct Mail,1,Active,2026-03-24
12,Hannah,Mensah,1997-05-09,hannah.mensah12@example.com,EH30 8FP,East Midlands,2023-12-16,Direct Mail,0,Active,2024-10-12
13,Aisha,Grewal,1968-08-12,aisha.grewal13@example.com,LS11 2XW,South East,2024-10-28,Telephone,0,Active,2025-02-02
14,Gareth,Carrick,1964-09-07,gareth.carrick14@example.com,BS4 8XT,West Midlands,2024-11-23,Telephone,1,Inactive,2025-08-23
15,Samuel,Sandoval,1978-07-11,samuel.sandoval15@example.com,N30 2XF,East Midlands,2024-10-13,Web,0,Active,2025-09-29
16,Kai,Hargreaves,1964-02-16,kai.hargreaves16@example.com,BT32 3NZ,South West,2026-03-20,Direct Mail,1,Active,2026-08-03
17,Samuel,Duffy,1976-09-07,samuel.duffy17@example.com,N2 1US,East Midlands,2016-12-21,Event,1,Active,2022-06-29
18,Omar,Yeboah,1949-06-20,omar.yeboah18@example.com,cf98qe,Scotland,2024-04-06,Direct Mail,0,Active,2024-04-14
19,Chloe,Iqbal,2005-04-08,chloe.iqbal19@example.com,SW25 1LU,Wales,2023-08-13,Social,0,Active,2024-09-16
20,Freya,Hargreaves,1984-07-18,freya.hargreaves20@example.com,BS21 6GQ,West Midlands,2019-04-30,Partner,1,Lapsed,2025-01-08
21,Freya,Hargreaves,1954-08-11,freya.hargreaves21@example.com,N16 8JZ,Scotland,2023-11-24,Web,0,Deceased,2025-05-28
22,Elliot,Bright,2006-12-26,elliot.bright22@example.com,L38 7RY,North East,2024-12-23,Social,1,Active,2025-03-16
23,Aisha,Duffy,1968-08-06,aisha.duffy23@example.com,BS28 8JA,Northern Ireland,2017-08-04,Partner,0,Active,2019-07-10
24,Chloe,Kowalski,2004-10-15,chloe.kowalski24@example.com,SE20 5EZ,Scotland,2018-12-19,Event,1,Active,2026-07-12
25,Grace,Thornbury,1976-05-13,grace.thornbury25@example.com,ls339qh,Yorkshire & Humber,2018-09-24,Telephone,0,Active,2019-10-25
26,Tariq,Pemberton,1952-03-19,tariq.pemberton26@example.com,CF21 1FR,East Midlands,2026-01-19,Direct Mail,0,Lapsed,2026-05-02
27,Leah,Whitlock,1975-11-28,leah.whitlock27@example.com,SE35 1DS,East of England,2023-11-26,Web,1,Lapsed,2026-01-20
28,Deborah,Gill,1993-04-11,deborah.gill28@example.com,NE34 2QB,Northern Ireland,2020-01-03,Event,0,Lapsed,2022-01-26
29,Amara,Iqbal,1991-11-12,amara.iqbal29@example.com,n194gn,East of England,2023-03-01,Social,0,Lapsed,2023-10-30
30,Aisha,Hargreaves,1954-02-02,aisha.hargreaves30@example.com,SW12 6ZU,East Midlands,2024-03-26,Direct Mail,0,Active,2024-10-04
31,Sian,Thornbury,1952-10-28,sian.thornbury31@example.com,L10 9ER,Northern Ireland,2021-12-09,Event,0,Active,2025-08-29
32,Elliot,Ahmed,1954-08-24,elliot.ahmed32@example.com,M28 7UT,Northern Ireland,2025-06-22,Social,1,Active,2026-05-02
33,Elliot,Wainwright,1949-05-27,elliot.wainwright33@example.com,EH34 1HJ,West Midlands,2022-01-14,Telephone,0,Lapsed,2025-09-01
34,Callum,Rashid,1957-05-27,callum.rashid34@example.com,B35 6PL,North East,2022-03-04,Web,1,Active,2024-04-04
35,Zara,Morrow,1998-02-13,zara.morrow35@example.com,M15 8ZB,South West,2021-11-02,Telephone,1,Active,2025-09-22
36,Elliot,Nkemelu,1981-09-28,elliot.nkemelu36@example.com,G27 3PS,London,2023-04-26,Web,1,Inactive,2025-02-08
37,Joseph,Lindqvist,1984-03-09,joseph.lindqvist37@example.com,B39 9PG,North West,2017-09-28,Event,1,Lapsed,2021-03-03
38,Jasmin,Wainwright,1961-01-17,jasmin.wainwright38@example.com,L27 6UD,Scotland,2020-07-22,Event,1,Active,2021-03-14
39,Freya,Ahmed,1967-02-06,freya.ahmed39@example.com,B25 1AX,West Midlands,2025-10-07,Social,0,Lapsed,2025-11-02
40,Zainab,Abiola,1963-11-24,zainab.abiola40@example.com,L29 4YW,Yorkshire & Humber,2022-12-24,Web,1,Active,2025-06-24
41,Olive,Bright,1980-03-23,olive.bright41@example.com,EH10 6HT,East Midlands,2019-09-02,Event,0,Active,2023-06-07
42,Olive,Abiola,1955-10-18,olive.abiola42@example.com,LS19 1XY,North West,2024-05-11,Direct Mail,0,Inactive,2024-07-07
43,Aisha,Grewal,1995-10-05,aisha.grewal43@example.com,N29 8XT,Northern Ireland,2021-06-13,Partner,0,Active,2023-06-07
44,Omar,Tewari,1949-07-26,omar.tewari44@example.com,M29 1JQ,North East,2020-04-16,Event,0,Active,2024-06-09
45,Imogen,Sharpe,1968-08-15,imogen.sharpe45@example.com,B2 3JF,South West,2022-12-01,Telephone,1,Active,2025-05-10
46,Noah,Ahmed,1998-12-23,noah.ahmed46@example.com,L36 2ZZ,Yorkshire & Humber,2021-05-15,Event,0,Active,2024-01-09
47,Deborah,Bright,1998-08-05,deborah.bright47@example.com,M29 6WP,North East,2022-06-07,Web,0,Lapsed,2023-05-13
48,Niamh,Ahmed,1957-02-01,niamh.ahmed48@example.com,B21 9ZF,South West,2021-07-24,Partner,1,Lapsed,2023-12-28
49,Maya,Sandoval,1960-07-04,maya.sandoval49@example.com,G30 2YX,Scotland,2020-04-30,Event,0,Inactive,2023-08-03
